,count,mean,std,min,25%,50%,75%,max
iOS,210.0,20.10545238095238,15.055504673262238,2.2666666666666666,8.374791666666667,15.052499999999998,26.707916666666666,64.35833333333333
percapita_log,172.0,3.831327665104617,0.638167166386329,2.370767467439713,3.3479237348425683,3.835640697542318,4.319623092347133,5.239772788238235
OSX,210.0,14.975396825396826,8.811515406702922,1.4349999999999998,7.9399999999999995,12.655000000000001,21.37020833333333,36.854166666666664
LangCount,210.0,1.638095238095238,1.7857694227076726,1.0,1.0,1.0,2.0,23.0
EthnicCount,210.0,2.6809523809523808,2.095362628085202,1.0,1.0,2.0,4.0,23.0
ReliCount,210.0,2.5142857142857142,1.3738103036855727,1.0,1.0,2.0,3.0,7.0
NonReli,210.0,7.9866666666666655,14.855469997133234,0.0,0.0,0.0,10.2,89.2
