,Unnamed: 0.1,Unnamed: 0,sortname,Android,iOS,country,aaa,percapita,code,gdp,population,LandArea,ChildPercentage,GovEduc,WorkingPercentage,EduDuration,percapita_log,population_log,density,ios,index,cs,island,LangCount,EthnicCount,ReliCount,NonReli,Unnamed: 7,OSX,store
0,0,11,Afghanistan2020,90.645,8.955833333,Afghanistan,508.4537219,508.4537219,AFG,20116137326,38928341,652230,41.82260145,10.25386047,55.52832889,9,2.707104739,7.590265907,0.007216159,0.089917253,0,Afghanistan,0,2,4,2,0,Afghanistan,5.321666667,0
1,1,25,Albania2020,63.78333333,35.71416667,Albania,5180.914198,5180.914198,ALB,15131866271,2837849,27400,17.23585785,12.06999969,68.05956084,9,3.714490218,6.452989436,0.004173086,0.358945367,1,Albania,0,1,2,3,0,Albania,7.129166667,0
2,2,39,Algeria2020,95.80416667,3.855833333,Algeria,3367.963003,3367.963003,DZA,1.45009E+11,43851043,2381741,30.78351567,16.54919052,62.47355707,10,3.527496242,7.641979937,0.022970119,0.038689879,2,Algeria,0,1,3,1,0,Algeria,4.585,0
3,3,53,American Samoa2020,66.28333333,33.58666667,American Samoa,12844.90099,12844.90099,ASM,709000000,55197,200,,,,,4.10876457,4.741923342,0.001570772,0.336303862,3,American Samoa,1,2,1,5,0,American-Samoa,26.96166667,0
4,4,67,Andorra2020,66.55916667,33.18333333,Andorra,37072.40538,37072.40538,AND,2891001149,77265,470,,,,10,4.56906248,4.88798843,0.002633794,0.33269001,4,Andorra,0,1,4,2,0,Andorra,36.85416667,0
5,5,81,Angola2020,83.98333333,13.92583333,Angola,1895.770703,1895.770703,AGO,53619071176,32866268,1246700,46.39536239,6.467226505,51.41317518,6,3.278014833,7.516750405,0.016169115,0.142232171,5,Angola,0,1,5,3,0,Angola,12.84666667,0
6,6,95,Antigua and Barbuda2020,78,21.41916667,Antigua and Barbuda,13993.32018,13993.32018,ATG,1370281481,97928,440,21.85052436,8.94178009,68.8172043,11,4.145951806,4.99091132,0.001946957,0.215443032,6,Antigua and Barbuda,1,1,1,7,0,Antigua-and-Barbuda,20.7325,0
7,7,109,Argentina2020,91.90083333,7.719166667,Argentina,8475.729582,8475.729582,ARG,3.89591E+11,45376763,2736690,24.43531114,,64.19817702,14,3.928228329,7.656833521,0.025433015,0.077486114,7,Argentina,0,1,2,3,0,Argentina,8.918333333,0
8,8,123,Armenia2020,73.51083333,26.0625,Armenia,4266.005479,4266.005479,ARM,12641209802,2963234,28470,20.83234483,8.82777977,67.36477569,12,3.6301232,6.471766095,0.004152674,0.261741765,8,Armenia,1,1,1,1,0,Armenia,5.375,0
9,9,137,Aruba2020,73.82833333,25.89,Aruba,23385.63867,23385.63867,ABW,2496648045,106766,180,17.38193807,,68.01228856,13,4.368967806,5.02843704,0.000731574,0.259631295,9,Aruba,1,2,4,1,0,Aruba,20.34583333,0
10,10,151,Australia2020,46.28,53.36583333,Australia,55822.71285,55822.71285,AUS,1.32784E+12,25693267,7692020,19.29242502,,64.49451692,10,4.746818718,7.409819347,0.113735784,0.535555091,10,Australia,1,1,1,2,29.6,Australia,31.76583333,1
11,11,165,Austria2020,67.65166667,31.73583333,Austria,48105.63198,48105.63198,AUT,4.33258E+11,8916864,82520,14.41217677,,66.38381959,13,4.682204952,6.950212192,0.004000641,0.319314132,11,Austria,0,1,1,2,0,Austria,20.55,1
12,12,179,Azerbaijan2020,85.47166667,13.74083333,Azerbaijan,4202.232239,4202.232239,AZE,42693000000,10093121,82646,23.51529123,10.5025301,69.74308664,10,3.623583387,7.004025523,0.003541674,0.138499013,12,Azerbaijan,0,1,1,1,0,Azerbaijan,9.010833333,0
13,13,193,Bahamas2020,68.86666667,31.0125,Bahamas,25194.2892,25194.2892,BHS,,,,,,,,4.401319348,,,0.310500188,13,Bahamas,1,1,1,5,0,The-Bahamas,23.92833333,0
14,14,207,Bahrain2020,72.39,27.44916667,Bahrain,19925.0016,19925.0016,BHR,34723357447,1701583,785,18.28235605,,79.06645314,9,4.299420161,6.230853393,0.000200309,0.274933852,14,Bahrain,1,1,3,2,0,Bahrain,28.82916667,0
15,15,221,Bangladesh2020,95.7525,2.7625,Bangladesh,2000.640157,2000.640157,BGD,3.73902E+11,164689383,130170,26.75454131,11.8447504,68.01845508,5,3.301386005,8.216665605,0.000343129,0.028041415,15,Bangladesh,0,1,1,2,0,Bangladesh,2.6075,0
16,16,235,Barbados2020,76.51916667,22.95,Barbados,15449.237,15449.237,BRB,4689534962,287371,430,16.76033058,11.49349022,66.53745107,11,4.188935146,5.458444451,0.000649359,0.230724764,16,Barbados,1,1,1,3,0,Barbados,21.3975,0
17,17,249,Belarus2020,84.96833333,14.525,Belarus,6377.055432,6377.055432,BLR,61489588895,9379952,202980,17.2403568,12.78114986,67.17944767,9,3.804688289,6.972200662,0.00929779,0.145989681,17,Belarus,0,2,1,2,41.1,Belarus,11.3475,0
18,18,263,Belgium2020,63.9625,35.68333333,Belgium,45028.32341,45028.32341,BEL,5.21677E+11,11544241,30280,17.03397082,,63.71179632,12,4.653495421,7.062365422,0.001137643,0.35810161,18,Belgium,0,3,1,1,31,Belgium,23.32,1
19,19,277,Belize2020,78.51666667,21.0325,Belize,3987.726394,3987.726394,BLZ,1585631670,397621,22810,29.19940246,21.52098083,65.79214743,8,3.600834247,5.599470405,0.024225418,0.211277509,19,Belize,0,2,4,5,15.6,Belize,14.73166667,0
20,20,291,Benin2020,86.80583333,6.968333333,Benin,1254.212589,1254.212589,BEN,15651545332,12123198,112760,41.94457734,,54.77695658,6,3.098717286,7.083617234,0.004020779,0.074309733,20,Benin,0,1,5,6,5.8,Benin,10.47083333,0
21,21,305,Bermuda2020,45.56416667,54.0225,Bermuda,123944.9069,123944.9069,BMU,6881662000,63893,54,,,,13,5.09323219,4.805460077,0.000366895,0.542467198,21,Bermuda,1,2,3,6,17.8,Bermuda,30.36916667,0
22,22,319,Bhutan2020,87.61333333,12.23333333,Bhutan,3217.962935,3217.962935,BTN,2315436303,771612,38140,24.89450602,15.78534031,68.900789,,3.507715976,5.887399536,0.020953056,0.122521199,22,Bhutan,0,1,3,2,0,Bhutan,9.0375,0
23,23,333,"Bolivia, Plurinational State of2020",94.4925,5.065833333,"Bolivia, Plurinational State of",3133.10195,3133.10195,BOL,,,,,,,,3.49611312,,,0.050883067,23,"Bolivia, Plurinational State of",0,1,3,4,5.5,Bolivia,13.52,0
24,24,347,Bosnia and Herzegovina2020,91.33416667,8.479166667,Bosnia and Herzegovina,6035.475569,6035.475569,BIH,19955120005,3280815,51200,14.52247137,,67.56175821,9,3.780783447,6.515981874,0.006725206,0.08495024,24,Bosnia and Herzegovina,0,3,3,3,0,Bosnia-and-Herzegovina,5.12,0
25,25,361,Botswana2020,88.535,10.7125,Botswana,6710.960147,6710.960147,BWA,14930072799,2351625,566730,33.40372432,,62.08408051,,3.826849369,6.371368253,0.093770052,0.107937228,25,Botswana,0,2,2,1,11.1,Botswana,12.53416667,0
26,26,375,Brazil2020,86.21666667,13.525,Brazil,6796.844058,6796.844058,BRA,1.44857E+12,212559409,8358140,20.70919916,,69.69852622,14,3.832371198,8.327480336,0.016749882,0.135600301,26,Brazil,0,1,3,2,0,Brazil,8.805,1
27,27,389,Brunei Darussalam2020,75.09083333,24.22166667,Brunei Darussalam,27436.74151,27436.74151,BRN,12005825770,437483,5270,22.32404298,,72.10586108,9,4.43834836,5.640962174,0.005200331,0.243893434,27,Brunei Darussalam,1,2,2,3,0,Brunei,20.99,0
28,28,403,Bulgaria2020,86.48916667,13.10416667,Bulgaria,10058.07741,10058.07741,BGR,69889347433,6934015,108560,14.67947145,,63.85260299,11,4.00255815,6.840984839,0.006746704,0.131576745,28,Bulgaria,0,1,3,2,0,Bulgaria,4.9025,0
