,sortname,Android,iOS,country,year,code,gdp,population,LandArea,ChildPercentage,GovEduc,WorkingPercentage,EduDuration,percapita,percapita_log,population_log,density,ios,index,cs,island,LangCount,EthnicCount,ReliCount,NonReli,Unnamed: 7,OSX,Windows,store
11,Afghanistan2020,90.645,8.955833333,Afghanistan,2020,AFG,20116137326,38928341,652230,41.82260145,10.25386047,55.52832889,9,516.7478708,2.714118322,7.590265907,0.007216159,0.089917253,0,Afghanistan,0,2,4,2,0,Afghanistan,5.321666667,90.25,0
25,Albania2020,63.78333333,35.71416667,Albania,2020,ALB,15131866271,2837849,27400,17.23585785,12.06999969,68.05956084,9,5332.160475,3.726984652,6.452989436,0.004173086,0.358945367,1,Albania,0,1,2,3,0,Albania,7.129166667,88.16833333,0
39,Algeria2020,95.80416667,3.855833333,Algeria,2020,DZA,1.45009E+11,43851043,2381741,30.78351567,16.54919052,62.47355707,10,3306.858208,3.519546885,7.641979937,0.022970119,0.038689879,2,Algeria,0,1,3,1,0,Algeria,4.585,84.55833333,0
53,American Samoa2020,66.28333333,33.58666667,American Samoa,2020,ASM,709000000,55197,200,,,,,12844.90099,4.10876457,4.741923342,0.001570772,0.336303862,3,American Samoa,1,2,1,5,0,American-Samoa,26.96166667,55.06,0
67,Andorra2020,66.55916667,33.18333333,Andorra,2020,AND,2891001149,77265,470,,,,10,37416.69772,4.573077062,4.88798843,0.002633794,0.33269001,4,Andorra,0,1,4,2,0,Andorra,36.85416667,61.19083333,0
81,Angola2020,83.98333333,13.92583333,Angola,2020,AGO,53619071176,32866268,1246700,46.39536239,6.467226505,51.41317518,6,1631.431691,3.212835017,7.516750405,0.016169115,0.142232171,5,Angola,0,1,5,3,0,Angola,12.84666667,79.51,0
95,Antigua and Barbuda2020,78,21.41916667,Antigua and Barbuda,2020,ATG,1370281481,97928,440,21.85052436,8.94178009,68.8172043,11,13992.74448,4.14593394,4.99091132,0.001946957,0.215443032,6,Antigua and Barbuda,1,1,1,7,0,Antigua-and-Barbuda,20.7325,69.5475,0
109,Argentina2020,91.90083333,7.719166667,Argentina,2020,ARG,3.89591E+11,45376763,2736690,24.43531114,,64.19817702,14,8585.694742,3.933826024,7.656833521,0.025433015,0.077486114,7,Argentina,0,1,2,3,0,Argentina,8.918333333,87.47416667,0
123,Armenia2020,73.51083333,26.0625,Armenia,2020,ARM,12641209802,2963234,28470,20.83234483,8.82777977,67.36477569,12,4266.018074,3.630124482,6.471766095,0.004152674,0.261741765,8,Armenia,1,1,1,1,0,Armenia,5.375,93.19916667,0
137,Aruba2020,73.82833333,25.89,Aruba,2020,ABW,2496648045,106766,180,17.38193807,,68.01228856,13,23384.29879,4.368942923,5.02843704,0.000731574,0.259631295,9,Aruba,1,2,4,1,0,Aruba,20.34583333,74.43666667,0
